;D315_S4;D316_S5;D317_S6;D321_S10;D322_S11;D323_S12;D327_S16;D328_S17;D329_S18;D333_S22;D334_S23;D335_S24;D339_S28;D340_S29;D341_S30;D345_S34;D346_S35;D347_S36;D351_S40;D352_S41;D353_S42;D358_S45;D359_S46
____Hydrogenedentes;0,01810847;0,012365355;0,018544982;0,009406895;0,01045947;0,012536715;0;0,017729676;0,009317928;0,023469148;0,010640436;0;0;0,013984617;0,015400964;0;0,00823113;0,014814147;0;0;0,005932254;0,008744535;0,010795639
___028H05-P-BN-P5_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0,01223049;0;0;0;0;0;0;0;0;0;0
___ARKICE-90_Proteobacteria;0,029174757;0;0,01636322;0,012542527;0,038849458;0,016118633;0;0,01541711;0,01677227;0,014285569;0,020098601;0,023787898;0,013977706;0;0,009240578;0;0,00823113;0,070206174;0,022197558;0;0,069868765;0;0,076244197
___Elev-16S-509_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___JG30-KF-CM66_Chloroflexi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ML635J-21_Cyanobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___OM190_Planctomycetes;0,35613324;0,17311497;0,32617352;0,27750341;0,25102727;0,33132746;0,40057611;0,2597783;0,28233321;0,17244722;0,23290732;0,16651529;0,27081805;0,25172311;0,28491784;0,18476892;0,19260844;0,31109708;0,05976266;0,19746075;0,22278908;0,13866333;0,13427075
___SPOTSOCT00m83_Proteobacteria;0,020120522;0,037096065;0,031635558;0,031356318;0,023907359;0,019700552;0,040507696;0,010021121;0,008386135;0,024489546;0,016551789;0,018381558;0;0,037958246;0,024641543;0,009414977;0,023047164;0,0289842;0,010245027;0,013055256;0,012523647;0,009993754;0,016193458
___TA18_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__42095_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__B38_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__E6aD10_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__Hot-Creek-32_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003220467;0;0;0;0;0,003373637
__oca12_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__OCS116-clade_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004723092
_AKIW852_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,033492854;0;0;0,005932254;0;0,011470366
_alphaI-cluster_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_AT-s3-44_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
