;c22_S4;c23_S5;c24_S6;c28_S10;c29_S11;c30_S12;c34_S16;c35_S17;c36_S18;c40_S22;c41_S23;c42_S24;c46_S28;c47_S29;c48_S30;c52_S34;c53_S35;c54_S36;c59_S40;c60_S41;c63_S44;c64_S45;c66_S47;c70_S51;c71_S52;c72_S53;c76_S57;c77_S58;c78_S59;c82_S63;c83_S64;c84_S65;c88_S69;c89_S70;c90_S71;c94_S75;c95_S76;c96_S77;c100_S80;c101_S81;c102_S82;c106_S86;c107_S87;c108_S88;c112_S92;c113_S93;c114_S94
____Hydrogenedentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___028H05-P-BN-P5_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ARKICE-90_Proteobacteria;0,099997917;0,146171762;0,162695609;0,231916249;0,062667035;0,221512615;0,175886662;0,105586783;0,125090258;0,171974145;0,400894115;0,241991624;0,349727697;0,257236432;0,208655332;0,169737643;0,177428367;0,251573619;0,109141813;0,269303528;0,115057145;0,105160662;0,13612554;0,152826018;0,173417398;0,150251857;0,088799964;0,172171115;0,084579369;0,086835356;0,213783493;0,156718906;0,223110126;0,25576561;0,350818762;0,308407097;0,230328685;0,281936227;0,410268714;0,349716268;0,306778531;0,571540192;0,23343403;0,383534158;0,383463442;0,301960704;0,324698752
___Elev-16S-509_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___JG30-KF-CM66_Chloroflexi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006721605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ML635J-21_Cyanobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___OM190_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___SPOTSOCT00m83_Proteobacteria;0;0,006821349;0,014985122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005006609;0;0;0;0;0;0;0;0;0;0;0
___TA18_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__42095_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008072915;0;0,014431056
__B38_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0,010533967;0,019889415;0,027047913;0,006867997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00555093;0,008010574;0;0;0,019193858;0,009426314;0,014701847;0,006511217;0,005884892;0;0,004843749;0;0
__E6aD10_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__Hot-Creek-32_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0,655259153;0,506462997;0,956729724;0,012148307;0,005524923;0,341300524;0,52242863;0,016743946;0,004905712;0,021565879;0,029778102;0,284717774;0,574954772;0,007670476;0,488153197;0,008712035;0,018945374;0,52831812;0,013547299;0,025853154;0,015080682;0,012082767;1,308588623;0,799708621;0,763587863;0,027706486;0,280797989;0,691645851;0,005006609;0,776062417;0,025811063;0,717370441;1,010500914;0;0,007958155;0,655184589;0,010450522;0,540077984;0,007140963;0,375207446
__oca12_Betaproteobacteria_Proteobacteria;0,009374805;0,015591655;0,008562927;0;0;0;0;0;0;0;0;0;0,005266983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__OCS116-clade_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_AKIW852_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004956507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_alphaI-cluster_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_AT-s3-44_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_BIgi5_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Blfdi19_Myxococcales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
