;D312_S1;D313_S2;D314_S3;D318_S7;D319_S8;D320_S9;D324_S13;D325_S14;D326_S15;D330_S19;D331_S20;D332_S21;D336_S25;D337_S26;D338_S27;D342_S31;D343_S32;D344_S33;D348_S37;D349_S38;D350_S39;D354_S43;D355_S44
____Hydrogenedentes;0,060670864;0,033659313;0,048788988;0,042863266;0,034722222;0,043190325;0,05412903;0,037514654;0,017387944;0,021695307;0,013074226;0,04588623;0,037043689;0,022705019;0,041273044;0,013695475;0;0,022713016;0,018194389;0,023999063;0,018761726;0,01049959;0,012944006
___028H05-P-BN-P5_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ARKICE-90_Proteobacteria;0,029434379;0;0;0,019863465;0,007440476;0;0,018606854;0,012504885;0,015455951;0,010847654;0,008319962;0,009733443;0,007857752;0,009933446;0,013757681;0,038596338;0;0,005407861;0;0,013462889;0,008528057;0;0
___Elev-16S-509_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___JG30-KF-CM66_Chloroflexi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ML635J-21_Cyanobacteria;0,155581719;0,117352741;0,119649184;0,123362571;0,100446429;0,053268068;0,055820562;0,220398593;0,073415765;0,104860653;0,146193617;0,119582296;0,078577522;0,069534121;0,099361032;0,147537616;0,042675771;0,04001817;0,034569339;0,033364552;0,025584172;0,067770078;0,056090694
___OM190_Planctomycetes;0,21925609;0,15192176;0,14055875;0,16831673;0,09300595;0,16268356;0,21144152;0,13911684;0,17967542;0,13649964;0,17234207;0,15851607;0,11562121;0,09507727;0,1268764;0,17057091;0,05761229;0,12762552;0,0982497;0,10009366;0,12792086;0,06395205;0,06472003
___SPOTSOCT00m83_Proteobacteria;0,007208419;0,010916534;0;0,005227228;0;0,014396775;0,008457661;0;0;0,004519856;0;0;0,00561268;0;0;0,009337824;0;0;0;0,004097401;0;0;0
___TA18_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00585343;0;0;0
__42095_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__B38_Gammaproteobacteria_Proteobacteria;0,021625258;0;0;0;0;0;0;0;0;0;0;0;0;0,007095319;0;0,011205389;0;0,005407861;0;0,010536174;0;0;0
