;cD312_S49;cD313_S50;cD314_S51;cD318_S55;cD319_S56;cD320_S57;cD324_S61;cD325_S62;cD326_S63;cD330_S67;cD331_S68;cD332_S69;cD336_S73;cD337_S74;cD338_S75;cD342_S79;cD343_S80;cD344_S81;cD348_S85;cD349_S86;cD350_S87;cD354_S91;cD355_S92
____Hydrogenedentes;0;0,00418591;0,004886551;0,010481631;0;0;0,007412349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___028H05-P-BN-P5_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ARKICE-90_Proteobacteria;0,056240464;0,092787677;0,046422231;0,072497947;0,102078876;0,094040093;0,158624268;0,080127079;0,117776278;0,119149239;0,088810777;0,07505383;0,085743389;0,100731526;0,120517985;0,132120691;0,047696439;0,109794927;0,146551648;0,110092422;0,122566636;0,092028691;0,059939586
___Elev-16S-509_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___JG30-KF-CM66_Chloroflexi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ML635J-21_Cyanobacteria;0,042876393;0,095578283;0,062710732;0,064636724;0,036316523;0,017690711;0,028166926;0,123704964;0,039699869;0,061352966;0,086941076;0,046754845;0,043194038;0,049876775;0,048530732;0,026116881;0,008832674;0,010979493;0,010530657;0,008326318;0,020427773;0,013533631;0,022551527
___OM190_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___SPOTSOCT00m83_Proteobacteria;0,003897854;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004044228;0;0;0;0;0;0;0;0
___TA18_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__42095_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__B38_Gammaproteobacteria_Proteobacteria;0,027284978;0,026510765;0,017917352;0,020089793;0,06281777;0,037243601;0,041509154;0,029520503;0,046316514;0,022229336;0,03365461;0,022147032;0,027721547;0,01955952;0,009706146;0,020739876;0,012365743;0,021958985;0;0,016652635;0,015131683;0,018405738;0,007714996
__E6aD10_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__Hot-Creek-32_Betaproteobacteria_Proteobacteria;0,021716615;0,016743641;0,017102927;0,027077547;1,207279009;1,518607834;1,031798977;0,009840168;0,060873132;0,749573197;0,036459161;0,011073516;0,925770723;2,120251927;0,034780358;0;1,248940079;0,035785013;1,008310444;0,968628285;0,005296089;0,147245906;0,306226002
__oca12_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__OCS116-clade_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005265329;0;0;0;0
_AKIW852_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002706726;0,002967306
_alphaI-cluster_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,005568363;0;0;0;0,005889166;0,00651763;0,010377289;0;0;0;0,013087904;0;0;0;0;0;0;0;0;0;0,008322426;0;0
_AT-s3-44_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_BIgi5_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Blfdi19_Myxococcales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_C2U_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,012606084;0;0;0,007565842;0;0
_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_ctg-CGOF202_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_D05-2_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,031394327;0;0,012228569;0;0;0;0;0,014556619;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_DA111_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_DEV007_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0,005011527;0;0,004072125;0;0;0,00465545;0;0;0,009263303;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_DSSF69_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007020438;0;0;0,006496143;0,014836531
_GR-WP33-58_Desulfuromonadales_Deltaproteobacteria_Proteobacteria;0,016705088;0,014650686;0,008958676;0,009608162;0,013741387;0,01024199;0,008894819;0,007028691;0,015879948;0,005335041;0;0;0;0,005867856;0;0,003840718;0;0;0;0;0;0;0
_JG34-KF-161_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_JG34-KF-361_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,005011527;0,004883562;0;0,031444893;0;0,044692321;0,041509154;0;0,039699869;0,007113387;0,014957605;0,017225469;0,032879044;0;0,098679155;0;0,009715941;0,017079211;0;0,041631588;0,01815802;0,012450941;0
_MND8_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0,002784181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_MNG7_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,021627203;0;0;0;0;0;0;0;0,014226775;0;0;0,094769009;0,013691664;0,013750374;0;0,005299604;0,008946253;0;0,004625732;0,011348763;0,003248071;0,011869225
_NS11-12-marine-group_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,020046106;0,014650686;0,037463554;0,0113551;0,029445829;0,026070521;0,011859758;0;0;0;0;0;0;0;0,00727961;0;0;0;0,062306389;0,021278367;0,025723862;0,07849506;0,070621888
_NS7-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,007795708;0,003488259;0,005700976;0;0,006870694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_NS9-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_OPB56_Chlorobiales_Chlorobia_Chlorobi;0,040092212;0,041161451;0,023618328;0,041053055;0,026501247;0,027001611;0,031131866;0,037954932;0,014556619;0,023118509;0,006543952;0,01845586;0,011604368;0,006845832;0,011323837;0,006913292;0;0,005286422;0;0;0;0,002706726;0
_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,003341018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0,003488259;0;0;0;0;0;0,008434429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,00837182;0;0;0,008833749;0;0;0;0;0,004445867;0;0;0;0;0;0;0;0;0;0;0;0,023819191;0
_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0,006515401;0;0;0;0;0;0;0;0;0,007382344;0;0;0;0;0;0;0;0;0;0;0
