;c19_S1;c20_S2;c21_S3;c25_S7;c26_S8;c27_S9;c31_S13;c32_S14;c33_S15;c37_S19;c38_S20;c39_S21;c43_S25;c44_S26;c45_S27;c49_S31;c50_S32;c51_S33;c56_S37;c57_S38;c58_S39;c61_S42;c62_S43;c65_S46;c67_S48;c68_S49;c69_S50;c73_S54;c74_S55;c75_S56;c79_S60;c80_S61;c81_S62;c85_S66;c86_S67;c87_S68;c91_S72;c92_S73;c93_S74;c97_S78;c99_S79;c103_S83;c104_S84;c105_S85;c109_S89;c110_S90;c111_S91
____Hydrogenedentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___028H05-P-BN-P5_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ARKICE-90_Proteobacteria;0,021458696;0,013965261;0,076899416;0,105637009;0,118679718;0,044344212;0,081320096;0,082917698;0,169865474;0,120118784;0,124121351;0,115426331;0,161242377;0,150476125;0,112867775;0,233455731;0,192947005;0,189380997;0,229535102;0,286016949;0,201955442;0,24611524;0,354948005;0,295098935;0,271946293;0,280460378;0,353499333;0,327792086;0,293611884;0,30956848;0,387642777;0,308935361;0,302103741;0,377650155;0,454104369;0,409355478;0,11417414;0,208217408;0,425566645;0,374454331;0,353310652;0,220253316;0,301815666;0,275382055;0,127762005;0,159565981;0,144052472
___Elev-16S-509_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009125872;0,005857144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___JG30-KF-CM66_Chloroflexi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ML635J-21_Cyanobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___OM190_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___SPOTSOCT00m83_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___TA18_Proteobacteria;0;0;0;0;0;0;0,005647229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__42095_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__B38_Gammaproteobacteria_Proteobacteria;0,024760034;0,035785982;0,029661203;0,006374647;0;0;0,005647229;0;0,009762384;0,04671286;0,041809297;0,033831856;0,038734202;0,048244254;0,07637669;0,107929283;0,11342155;0,067357159;0,111794298;0,101224105;0,075332585;0,091689991;0,120271638;0,08919035;0,078511691;0,116417516;0,082173091;0,017839025;0,034757793;0,029482712;0,035509262;0,033269962;0,016478386;0,023480839;0,027321632;0,024518688;0,008273488;0,029617131;0,04080776;0,058138962;0,040191423;0,024972031;0,029823682;0,010087255;0,010492532;0;0,010727312
__E6aD10_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005885122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002247483;0;0;0;0;0
__Hot-Creek-32_Betaproteobacteria_Proteobacteria;0,267408367;4,534345815;11,74254076;0,301429742;0,569897653;0,160906142;0,170546313;0,290211943;0,156198137;0,149036269;0,287438919;0,279610337;0,248619531;0,384805357;0,272410194;0,119660727;0,080829151;3,006667383;2,082466135;2,02212806;0,161884917;2,68434514;0,095337274;0,095797042;2,122091369;0,0754068;0,144190518;0,049057319;0,076833016;1,994103458;1,241344617;0,044359949;1,274328506;1,376564166;2,509821656;1,157708462;0;1,815619896;1,057503964;1,188399799;0,04393016;0,447249081;0,016701262;0,03127049;0;0,035902346;0,35195799
__oca12_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__OCS116-clade_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_AKIW852_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004710626;0;0;0;0;0;0,004673421;0,002996644;0,008350631;0;0,003703247;0;0
_alphaI-cluster_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_AT-s3-44_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002554122
_BIgi5_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
